Unique station number,Unique sample event number,State,method,Stream_Name,EPA assigned site number,Sample_Date.1,BobN,DaveN,DonC,DougB,Ernie,Guy,HilaryS,LeonT,Mike,SteveF,SusanD,Fuzzy Model,total Ind,total taxa,PCAtt2,Att2 taxa,PCAtt3,Att3 taxa,PCAtt4,Att4 taxa,PCAtt5,Att5 taxa,PCAtt6,Att6 taxa,PCephem,ephem taxa,PC pleco,pleco taxa,PC Tricho,tricho taxa,PCHydro,PCtubi,PCnonins
119,119,NH,20 random toss 4m2 area,Indian River,EPA HEX 24.01 NH,8/12/2001,,,4.5,5.5,4.2,3.8,,,4.5,5.5,,3,207,37,0.014492754,3,0.222222222,10,0.68115942,19,0.057971014,4,0,0,3.8647343,5,0.483091787,1,2.898550725,4,0.004830918,0,0.019323671
120,120,NH,20 random toss 4m2 area,Indian Stream,NH HEX 2.05,7/23/2003,,4.8,,,,,,,,,,3,301,59,0.053156146,5,0.186046512,13,0.697674419,29,0.046511628,11,0,0,12.95681063,8,1.661129568,2,8.305647841,7,0.026578073,0,0.019933555
122,122,ME,20 random toss 4m2 area,Jellison Meadow Brook,EPA HEX 21.01 ME,9/17/2002,2.8,,,4.2,3.2,3.2,,,3.8,3.5,,3,246,51,0.06504065,6,0.300813008,13,0.528455285,22,0.089430894,8,0,0,18.69918699,7,1.62601626,2,19.51219512,12,0.036585366,0,0.032520325
125,125,NH,20 random toss 4m2 area,Johnson Brook,NH HEX 23.01,7/30/2002,,,3.5,,,,,3.8,,,,2,248,38,0.056451613,6,0.637096774,17,0.294354839,12,0.008064516,2,0,0,7.661290323,7,1.612903226,3,8.064516129,8,0.008064516,0,0.012096774
127,127,ME,20 random toss 4m2 area,Kenduskeag River,EPA HEX 13.03 ME (A),9/16/2002,,5.5,,4.5,4.2,3.8,,,3.2,3.8,,,261,44,0.022988506,4,0.026819923,3,0.739463602,29,0.164750958,5,0,0,26.43678161,5,0,0,8.812260536,5,0.026819923,0,0.08045977
129,129,ME,20 random toss 4m2 area,Kennebunk River,EPA HEX 31.02 ME,8/5/2001,,,4.2,4.2,4.5,3.8,,,4.8,3.8,,,201,45,0.019900498,1,0.084577114,7,0.666666667,28,0.099502488,5,0,0,7.960199005,3,0,0,8.955223881,6,0.034825871,0.029850746,0.104477612
130,130,VT,20 random toss 4m2 area,Kent Pond Outlet,VT HEX 4.01 (RD),7/30/2002,,,,4.8,,,,,,4.8,,5,171,32,0.01754386,2,0.403508772,8,0.421052632,16,0.14619883,6,0,0,1.169590643,1,0,0,10.52631579,4,0.093567251,0.011695906,0.081871345
146,146,ME,20 random toss 4m2 area,Logan Brook,EPA HEX 7.03 ME,7/26/2001,,,,3.8,3.2,3.5,,3.2,3.5,3.8,,2,219,33,0.132420091,6,0.401826484,10,0.397260274,14,0.02283105,1,0,0,13.69863014,5,1.826484018,2,15.52511416,5,0.02283105,0,0.196347032
148,148,MA,20 random toss 4m2 area,Longwater Brook,EPA HEX 38.02 MA,9/11/2001,,,,5.5,5.5,5.8,,,5.5,5.5,5.5,,203,29,0.014778325,2,0.073891626,4,0.270935961,16,0.610837438,5,0,0,0.985221675,1,0,0,20.68965517,5,0.118226601,0.251231527,0.60591133
157,157,ME,20 random toss 4m2 area,Medomak River,EPA HEX 27.01 ME,8/4/2001,,,4.2,4.5,3.8,3.5,,,3.2,5.2,,5,257,47,0.011673152,2,0.13618677,9,0.774319066,30,0.058365759,4,0,0,7.782101167,4,0,0,11.28404669,9,0.011673152,0,0.108949416
